timestamp,open,high,low,close,volume
2018-06-05 12:02:00,193.1903,193.2100,193.1700,193.2000,20096
2018-06-05 12:01:00,193.1950,193.2100,193.1300,193.1800,13812
2018-06-05 12:00:00,193.1800,193.2400,193.1800,193.2000,19156
2018-06-05 11:59:00,193.1000,193.1800,193.1000,193.1798,13250
2018-06-05 11:58:00,193.1400,193.1600,193.0500,193.0900,14581
2018-06-05 11:57:00,193.1550,193.1700,193.1100,193.1342,14192
2018-06-05 11:56:00,193.1500,193.1800,193.1200,193.1500,9609
2018-06-05 11:55:00,193.1396,193.1900,193.1100,193.1400,16329
2018-06-05 11:54:00,193.2100,193.2197,193.1200,193.1300,14571
2018-06-05 11:53:00,193.1500,193.2360,193.0900,193.2300,27500
2018-06-05 11:52:00,193.0700,193.1600,193.0200,193.1200,18149
2018-06-05 11:51:00,193.1550,193.1550,193.0400,193.0700,22366
2018-06-05 11:50:00,192.9500,193.1700,192.9500,193.1600,58321
2018-06-05 11:49:00,192.9900,193.0200,192.9000,192.9200,45461
2018-06-05 11:48:00,193.0100,193.0452,193.0100,193.0200,7506
2018-06-05 11:47:00,192.9701,193.0500,192.9400,193.0000,51848
2018-06-05 11:46:00,193.0200,193.0950,192.9700,192.9800,37859
2018-06-05 11:45:00,193.0800,193.1000,192.9700,193.0100,51150
2018-06-05 11:44:00,193.2200,193.2299,193.0500,193.0700,25461
2018-06-05 11:43:00,193.0985,193.2200,193.0900,193.2100,38410
2018-06-05 11:42:00,193.1401,193.1600,193.0500,193.0900,60706
2018-06-05 11:41:00,193.2400,193.2400,193.1146,193.1300,36279
2018-06-05 11:40:00,193.2490,193.2800,193.1800,193.2300,29241
2018-06-05 11:39:00,193.2800,193.2800,193.2230,193.2500,24910
2018-06-05 11:38:00,193.2500,193.3100,193.2200,193.2800,33364
2018-06-05 11:37:00,193.1200,193.2980,193.1200,193.2448,69307
2018-06-05 11:36:00,193.0722,193.1300,192.9700,193.1300,110995
2018-06-05 11:35:00,193.1600,193.1600,193.0600,193.0700,45087
2018-06-05 11:34:00,193.2000,193.2095,193.1500,193.1600,23418
2018-06-05 11:33:00,193.2500,193.2900,193.1500,193.2000,76822
2018-06-05 11:32:00,193.3400,193.3400,193.2500,193.2700,27793
2018-06-05 11:31:00,193.3950,193.4300,193.3405,193.3536,33375
2018-06-05 11:30:00,193.3300,193.4000,193.3300,193.3900,28542
2018-06-05 11:29:00,193.3100,193.3900,193.3050,193.3358,30029
2018-06-05 11:28:00,193.3348,193.3600,193.3000,193.3100,24272
2018-06-05 11:27:00,193.2900,193.3500,193.1900,193.3300,35832
2018-06-05 11:26:00,193.4900,193.4900,193.2900,193.2900,37006
2018-06-05 11:25:00,193.5312,193.5400,193.4500,193.4800,25778
2018-06-05 11:24:00,193.5012,193.5400,193.4900,193.5300,36770
2018-06-05 11:23:00,193.5140,193.5225,193.4701,193.5050,30691
2018-06-05 11:22:00,193.5799,193.5799,193.5069,193.5200,39572
2018-06-05 11:21:00,193.5100,193.5900,193.5000,193.5794,36418
