timestamp,open,high,low,close,volume
2018-06-05 16:00:00,102.2050,102.2500,102.1600,102.1900,3394645
2018-06-05 15:59:00,102.2300,102.2400,102.2000,102.2000,215258
2018-06-05 15:58:00,102.2440,102.2500,102.2300,102.2400,144853
2018-06-05 15:57:00,102.3100,102.3100,102.2400,102.2500,138468
2018-06-05 15:56:00,102.2500,102.3300,102.2500,102.3000,158744
2018-06-05 15:55:00,102.2200,102.2650,102.2100,102.2550,80211
2018-06-05 15:54:00,102.2300,102.2350,102.2100,102.2100,67189
2018-06-05 15:53:00,102.1900,102.2400,102.1800,102.2300,73533
2018-06-05 15:52:00,102.2350,102.2600,102.1950,102.1950,77607
2018-06-05 15:51:00,102.1400,102.2800,102.1400,102.2399,142396
2018-06-05 15:50:00,102.2700,102.3050,102.0800,102.1500,138229
2018-06-05 15:49:00,102.2450,102.2700,102.2400,102.2650,39069
2018-06-05 15:48:00,102.2150,102.2500,102.1900,102.2452,72381
2018-06-05 15:47:00,102.2250,102.2300,102.2100,102.2164,92288
2018-06-05 15:46:00,102.2100,102.2600,102.2100,102.2300,83781
2018-06-05 15:45:00,102.2350,102.2500,102.2100,102.2100,45194
2018-06-05 15:44:00,102.2250,102.2400,102.2200,102.2350,10042
2018-06-05 15:43:00,102.1900,102.2300,102.1900,102.2300,24214
2018-06-05 15:42:00,102.2350,102.2400,102.2000,102.2000,59356
2018-06-05 15:41:00,102.2300,102.2400,102.2100,102.2350,33055
2018-06-05 15:40:00,102.2500,102.2500,102.2300,102.2354,45422
2018-06-05 15:39:00,102.2350,102.2500,102.2300,102.2460,29779
2018-06-05 15:38:00,102.2000,102.2350,102.2000,102.2300,29180
2018-06-05 15:37:00,102.1950,102.2200,102.1800,102.2000,40351
2018-06-05 15:36:00,102.1600,102.2000,102.1500,102.2000,33198
2018-06-05 15:35:00,102.1600,102.1700,102.1500,102.1650,18288
2018-06-05 15:34:00,102.1600,102.1700,102.1600,102.1600,26274
2018-06-05 15:33:00,102.1200,102.1700,102.1200,102.1650,22806
2018-06-05 15:32:00,102.1500,102.1600,102.1100,102.1200,40642
2018-06-05 15:31:00,102.1500,102.1700,102.1400,102.1500,37419
2018-06-05 15:30:00,102.1300,102.1500,102.1300,102.1400,26867
2018-06-05 15:29:00,102.1050,102.1300,102.1050,102.1300,13205
2018-06-05 15:28:00,102.1200,102.1250,102.1000,102.1100,32264
2018-06-05 15:27:00,102.1050,102.1200,102.1000,102.1200,17382
2018-06-05 15:26:00,102.0500,102.1100,102.0500,102.1050,25752
